#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
-94.783654,9,1.428607
-78.162705,29,1.4422
-94.291362,11,1.447453
-66.671987,43,1.466931
-93.880585,12,1.475344
-84.677907,23,1.486516
-83.355409,24,1.497439
-81.501556,27,1.509411
-76.529286,32,1.526356
-88.896999,18,1.534917
-91.393003,15,1.544693
-91.866147,13,1.550798
-90.696861,16,1.56086
-82.511089,26,1.572791
-93.803009,11,1.578506
-88.330098,18,1.586849
-85.676644,21,1.599318
-82.802389,26,1.612099
-80.590671,28,1.625842
-87.793174,19,1.634408
-89.285942,18,1.646498
-90.535442,16,1.654266
-93.018174,14,1.665788
-93.476467,13,1.672849
-82.07002,27,1.68757
-84.948119,25,1.698857
-93.35877,12,1.704861
-88.610531,19,1.713411
-90.474091,16,1.723463
-92.438551,13,1.729398
-87.723711,20,1.739279
-88.551712,19,1.748078
-90.575498,16,1.757588
-92.140955,14,1.764311
-95.302399,10,1.770974
-88.256183,19,1.780331
-92.497794,14,1.789092
-89.608826,17,1.797314
-92.74115,12,1.802965
-88.044328,19,1.812196
-92.388836,13,1.82061
-76.922929,35,1.836571
-89.43852,18,1.844958
-77.648305,30,1.858536
-92.288172,13,1.867052
-82.106913,26,1.878892
-86.829632,21,1.888577
-88.519998,18,1.898653
-94.050548,11,1.906704
-89.151878,19,1.915292
-88.528597,19,1.924238
-93.525147,12,1.929849
-88.745323,18,1.963613
-93.076538,14,1.975585
-90.976983,16,1.98814
-93.800754,11,1.996126
-93.425952,12,2.008212
-89.765174,16,2.024169
-95.747831,9,2.035499
-88.183684,20,2.061338
-95.275003,9,2.074349
-90.642409,17,2.092636
-91.498088,14,2.108787
-94.291362,11,2.120807
-84.371665,24,2.154658
-86.427251,21,2.18231
-86.208302,22,2.205581
-89.068667,19,2.229251
-92.037144,14,2.248459
-88.623174,18,2.269474
-92.183712,14,2.282113
-76.456399,33,2.316874
-89.824931,17,2.33857
-90.735493,17,2.358968
-91.860283,15,2.379167
-89.695423,18,2.400706
-90.849927,15,2.420612
-85.16044,22,2.452138
-68.708485,41,2.503427
-85.223296,24,2.53387
-89.431338,18,2.560766
-85.155384,23,2.581449
-91.206442,15,2.59698
-88.078367,19,2.61631
-96.401613,8,2.627311
-90.18973,16,2.650269
-91.735893,14,2.669829
-83.798055,23,2.694374
-91.902975,15,2.709522
-91.437893,14,2.721589
-92.406335,13,2.733436
-92.751103,12,2.746439
-90.926631,16,2.765021
-86.22927,22,2.791937
-91.991125,14,2.807774
-90.575498,16,2.827157
-61.802796,51,2.893192
-94.625386,11,2.904723
-88.886816,20,2.92407
-86.162754,22,2.944413
-92.183562,13,2.961945
-84.367247,24,2.986896
-84.079127,25,3.013616
-94.223816,11,3.024565
-83.617295,25,3.051771
-94.952596,11,3.061732
-83.678658,24,3.087358
-90.540155,15,3.104952
-87.487193,19,3.127074
-94.043805,12,3.138024
-89.624942,16,3.151806
-96.901985,7,3.158302
-85.47656,23,3.18757
-93.080607,12,3.202344
-90.713137,15,3.2183
-92.449592,13,3.230099
-89.362941,17,3.248089
-83.885159,23,3.271146
-84.332725,24,3.297665
-90.531217,15,3.313345
-84.489338,24,3.341823
-93.880585,12,3.361025
