#{"t_start": 1783678883.705587, "env_id": "None"}
r,l,t
-87.215101,22,3.531517
-93.662367,11,3.554811
-83.798316,24,3.612442
-90.295823,15,3.644366
-88.708221,18,3.686716
-90.011701,16,3.722645
-95.441627,9,3.743062
-90.146598,16,3.778778
-87.152225,20,3.828976
-96.347945,8,3.846808
-95.920594,9,3.868035
-89.219326,17,3.910167
-51.762031,64,4.065485
-78.873087,29,4.133811
-82.950854,25,4.192416
-92.341592,13,4.221559
-91.914367,13,4.256359
-91.070396,15,4.292205
-95.418424,9,4.312369
-83.185902,25,4.374009
-92.815327,12,4.40052
-93.112057,12,4.426175
-86.499145,21,4.492903
-94.523427,11,4.5167
-84.977825,23,4.56901
-94.298199,10,4.594416
-88.949065,18,4.632128
-86.521461,21,4.680183
-89.937398,16,4.716528
-92.155242,15,4.748576
-89.817878,17,4.788571
-96.010528,8,4.809465
-95.614623,9,4.829682
-92.801441,14,4.861338
-94.488524,10,4.88208
-80.750827,27,4.951793
-86.054638,20,4.994188
-90.448847,16,5.035668
-85.227226,22,5.082613
-93.933437,12,5.114254
-94.29674,11,5.140712
-88.897197,19,5.182009
-90.570476,16,5.232335
-87.640793,18,5.280395
-85.908056,21,5.331985
-87.896234,19,5.375427
-82.022175,27,5.436173
-77.320137,32,5.508196
-92.643054,14,5.538446
-83.064206,24,5.594409
-93.233599,11,5.617837
-93.416254,13,5.645124
-89.388825,17,5.687541
-95.614623,9,5.707262
-93.310638,13,5.735806
-87.911944,20,5.785071
-83.97273,24,5.841831
-82.253924,26,5.907975
-88.471492,19,5.950547
-92.59241,13,5.990012
-90.33216,16,6.025721
-87.583694,20,6.069615
-87.694002,18,6.112913
-85.324097,25,6.166971
-85.256766,22,6.221475
-85.108819,23,6.271224
-92.01928,15,6.307186
-94.658227,10,6.331062
-89.340876,17,6.368543
-91.070062,16,6.40308
-88.586188,19,6.44847
-87.911203,19,6.49368
-83.034898,25,6.550977
-90.039213,18,6.58968
-88.471628,18,6.628004
-91.242674,15,6.667283
-88.38142,19,6.707882
-91.639368,14,6.737639
-85.48175,21,6.789485
-92.441592,13,6.8183
-89.145075,18,6.862505
-75.348553,33,6.93355
-84.297481,23,6.988546
-92.48997,14,7.019352
-85.158099,23,7.073145
-89.281167,17,7.110587
-96.127935,8,7.128504
-84.494959,23,7.181134
-91.933612,14,7.211834
-93.66158,12,7.239352
-86.697061,20,7.281159
-76.404938,32,7.355138
-69.919007,39,7.445548
-80.94119,27,7.507846
-90.648063,16,7.545222
-73.068866,39,7.632023
-83.61863,25,7.686453
-86.039298,24,7.753298
-84.12649,24,7.812589
-85.897011,21,7.875874
-90.051292,17,7.915589
-90.85496,15,7.955583
-78.991617,31,8.027152
