#{"t_start": 1783674438.36551, "env_id": "None"}
r,l,t
-72.2,42,2.489551
-74.8,35,2.541218
-87.3,28,2.580572
-96.6,11,2.595569
-76.1,37,2.648498
-94.5,12,2.665257
-83.6,35,2.717893
-96.0,16,2.740713
-94.2,31,2.789733
-46.3,69,2.894862
-89.8,20,2.921773
-90.6,17,2.944971
-66.4,39,3.005372
-88.3,27,3.047894
-79.5,38,3.108974
-92.9,18,3.141847
-83.8,37,3.192924
-90.5,27,3.239614
-85.6,22,3.270719
-96.6,11,3.286672
-84.5,22,3.320799
-56.8,53,3.406058
-93.1,31,3.469323
-94.9,16,3.50422
-89.9,32,3.55318
-77.6,30,3.595547
-70.3,45,3.661998
-31.9,90,3.791393
-91.5,15,3.811759
-86.2,28,3.872672
-95.6,12,3.895529
-87.6,42,3.967578
-43.6,64,4.059136
-83.3,32,4.109362
-74.8,35,4.159324
-75.5,75,4.261075
-88.5,29,4.301652
-86.6,32,4.341202
-51.5,66,4.429844
-84.1,29,4.468557
-85.4,31,4.506484
-81.9,29,4.542316
-90.1,23,4.569026
-76.2,71,4.654701
-69.3,46,4.702293
-96.7,23,4.728631
-84.0,28,4.759669
-82.1,97,4.87232
-52.4,108,4.993686
-51.8,80,5.087592
-94.4,22,5.111875
-58.2,67,5.195092
-80.0,32,5.231563
-87.8,33,5.269356
-99.1,36,6.569038
-70.7,49,6.632488
40.4,181,6.853604
-71.3,44,6.905766
-87.7,21,6.92905
-90.4,26,6.96019
-94.3,21,6.983426
-77.2,37,7.02387
-60.8,60,7.092912
-55.7,97,7.199662
-55.3,49,7.252746
-66.0,57,7.320906
-35.4,81,7.410557
-89.4,38,7.454263
-61.2,64,7.525139
36.4,177,7.732449
-16.6,124,7.881951
-41.4,119,8.021597
-21.7,87,8.122006
-70.7,60,8.193768
38.3,180,8.396425
-59.6,81,8.483303
-84.9,37,8.525919
-77.3,60,8.59222
-96.1,17,8.614468
-82.9,28,8.645921
-74.6,33,8.685894
-74.7,67,8.762259
-71.0,52,8.822469
5.6,155,10.140139
26.9,195,10.370793
-31.1,82,10.456408
188.8,391,10.895581
-73.0,39,10.93965
-54.8,66,11.014224
-1.5,171,11.238825
-94.9,27,11.278176
224.4,409,11.753021
46.5,175,11.956969
7.5,158,12.140911
-42.5,75,12.230618
43.1,198,13.677458
-3.4,113,13.828602
60.8,186,14.047983
451.4,647,14.929075
263.9,410,15.480144
388.2,641,16.360301
806.0,884,18.931906
484.1,639,19.72382
981.7,1118,22.305878
64.1,186,22.53498
1525.5,1397,25.451792
1591.8,1405,27.179598
1581.3,1400,30.084585
1575.5,1403,32.971872
1580.8,1394,34.719206
1592.8,1395,37.859608
1590.4,1397,41.012769
1599.8,1402,43.024422
1616.0,1416,46.056078
1618.8,1421,49.051449
1623.0,1423,50.758216
1616.0,1416,53.736434
1619.0,1419,56.602664
1619.9,1421,58.33433
1619.0,1419,61.391973
1618.0,1418,64.297611
1616.8,1419,67.155543
1615.0,1415,68.958003
1616.0,1416,71.948718
1615.0,1415,74.945052
1617.0,1417,76.73662
1617.0,1417,79.886454
1618.0,1418,82.921827
1616.0,1416,84.763525
1617.0,1417,87.892172
1619.0,1419,91.007737
1617.0,1417,92.778669
1620.0,1420,95.78562
1620.0,1420,98.769358
1615.0,1415,101.977442
1619.0,1419,103.670741
1618.0,1418,106.644298
1620.0,1420,109.576869
1618.0,1418,111.305799
1616.0,1416,114.188394
1614.9,1416,117.178885
1617.0,1417,118.876041
1616.0,1416,121.847289
1614.0,1414,124.761252
1613.0,1413,126.496598
1615.0,1415,129.387543
1613.0,1413,132.317967
1614.0,1414,135.181913
1615.0,1415,136.994223
1613.0,1413,139.982883
1611.0,1411,142.878618
1613.0,1413,144.546761
1612.0,1412,147.467479
1615.0,1415,150.404041
1613.0,1413,152.045093
1612.0,1412,154.974737
1613.0,1413,157.85577
1613.0,1413,159.543988
1612.0,1412,162.369428
1611.0,1411,165.229074
1611.0,1411,168.198862
1611.0,1411,169.877516
1612.0,1412,172.766806
1611.0,1411,175.710963
1611.0,1411,177.355576
1611.0,1411,180.368102
1610.0,1410,183.360008
1602.3,1410,185.020887
1611.0,1411,187.828377
1611.0,1411,190.682232
1609.0,1409,192.287955
1610.0,1410,195.233552
1609.0,1409,198.122887
1609.0,1409,199.803244
1610.0,1410,202.647794
1611.0,1411,205.60015
1610.0,1410,208.602813
1611.0,1411,210.280005
1611.0,1411,213.224063
1611.0,1411,216.122928
1610.0,1410,217.735764
1610.0,1410,220.580742
1611.0,1411,223.437573
1610.0,1410,225.088731
1610.0,1410,228.010993
1608.0,1408,231.006957
1609.0,1409,232.700288
1610.0,1410,235.636774
1608.0,1408,238.673899
1609.0,1409,240.356872
1609.0,1409,243.800689
1604.8,1407,246.935973
1606.9,1408,250.297747
1607.0,1407,252.361785
1606.0,1406,255.246304
1606.0,1406,258.239623
1606.0,1406,260.114648
